"id","name","price","type","categories","X","Y","geometry"
"cVqtIOgBM7NPuK0IQGloaQ","Flowers of Vietnam","$$$","restaurant","Vietnamese",-83.096543,42.32025,c(-83.096543, 42.32025)
"HYrqw4xlLCNDptBHGrTIbQ","Dime Store","$$","restaurant","Breakfast & Brunch/New American/Diners",-83.0479924085636,42.3308060633157,c(-83.0479924085636, 42.3308060633157)
"0DgRrZiJ9omrxJHnj-92HQ","The Goblin","N/A","restaurant","Sushi Bars",-83.077756,42.325367,c(-83.077756, 42.325367)
"GtYLBKWylCML8YmZDgi81Q","Eatori Market","$$","restaurant","Cocktail Bars/Wine Bars/Mediterranean",-83.0498236999461,42.3329010520712,c(-83.0498236999461, 42.3329010520712)
"ioFyTODz0m_z8dTIidyq5A","Bash Original Izakaya","N/A","restaurant","Sushi Bars/Izakaya",-83.079469,42.352967,c(-83.079469, 42.352967)
"TkLcUfsNpPMCf-ksOv7Yeg","Ima Noodles","$$","restaurant","Ramen/Noodles/Soup",-83.0663166940212,42.3558225730242,c(-83.0663166940212, 42.3558225730242)
"LXY2-zJxovRaiWixlLmRWg","Frita Batidos","$$","fast casual","Burgers/Cuban",-83.05314,42.3379,c(-83.05314, 42.3379)
"lRrC581hQiITmkllE3cJSQ","Mom's Spaghetti","$$","fast casual","Italian/Sandwiches",-83.0521464133298,42.3382773099523,c(-83.0521464133298, 42.3382773099523)
"sLp3eqjNyweWt0K-0BTr7w","ChickP Detroit","N/A","fast casual","Salad/Wraps/Juice Bars & Smoothies",-83.0502599,42.3348149,c(-83.0502599, 42.3348149)
"2zHyxn8w_jIJbjibwIUgoQ","Penny Red's","$$","fast casual","Chicken Shop",-83.04825,42.33484,c(-83.04825, 42.33484)
"NRGZCau3Zh19q64M-a9Yfw","Hiroki-san","N/A","fast casual","Japanese/Sushi Bars/Desserts",-83.0516,42.3335,c(-83.0516, 42.3335)
"TJQYqfPzVCbh7Op6GxQixQ","Iggy’s Eggies","$","fast casual","Breakfast & Brunch",-83.049282279921,42.3338849519508,c(-83.049282279921, 42.3338849519508)
"8Pi4ES2PUynNKgOIMhnwcw","Grandma Bob's","$$","fast casual","Pizza/Cocktail Bars",-83.07584,42.33113,c(-83.07584, 42.33113)
"MG_dEntWnCwiyczRERCc1A","La Lanterna","$$","fast casual","Pizza/Italian/Wine Bars",-83.0490294,42.3330441,c(-83.0490294, 42.3330441)
"KV3GUXTFvv5aTN0cYQgN6Q","Anita's Kitchen - Detroit","N/A","fast casual","Lebanese/Breakfast & Brunch",-83.0459858936533,42.3287036924542,c(-83.0459858936533, 42.3287036924542)
"T_uoK9ntxG4jKjkX5MHJAQ","Bucharest Grill","$","fast casual","Mediterranean/Fast Food/Bars",-83.0566840949536,42.337000974822,c(-83.0566840949536, 42.337000974822)
"2vPro9dmObwcWcs4gdU_3w","El Barzon","$$","fast casual","Italian/Mexican",-83.1109625504221,42.3306940708427,c(-83.1109625504221, 42.3306940708427)
"-JQ4WEA0N8f1cfhDVpL4WA","Mister Dips","$$","fast casual","Burgers/Ice Cream & Frozen Yogurt",-83.0483395888337,42.3346343928124,c(-83.0483395888337, 42.3346343928124)
"FesYFfe-Lz42v0Cig6PS9w","El Agave Taqueria","N/A","fast casual","Mexican",-83.1246319748296,42.3081113837637,c(-83.1246319748296, 42.3081113837637)
"0kfdp9bKX4eB6UwzJcEpvg","Beyond Juicery + Eatery","$$","fast casual","Juice Bars & Smoothies/Salad/Wraps",-83.0405219,42.34599779,c(-83.0405219, 42.34599779)
"nLZFCVDGTtgiIrBCcDw68Q","Dollar General","N/A","dollar store","Discount Store/Grocery",-83.032685,42.338883,c(-83.032685, 42.338883)
"Isy4uYaEwapSeDgTKEtz-g","Peoples Records","$","dollar store","Vinyl Records",-83.037623,42.344306,c(-83.037623, 42.344306)
"z4N60v2lbCpVINqXTiAX-Q","Nationwide-Florists","$$$","dollar store","Florists",-83.0472336,42.3302994,c(-83.0472336, 42.3302994)
"rSX7qTRKrmOnyUr2ksq7AA","Bloomscape","N/A","dollar store","Nurseries & Gardening",-83.049634,42.334654,c(-83.049634, 42.334654)
"-hMeWhYFoojet1PA93N-Dw","Floyd","N/A","dollar store","Home Decor/Furniture Stores",-83.03606,42.3488,c(-83.03606, 42.3488)
"z6OhKISjh4jhMoquhjOlOw","Nojo Kicks","$$","dollar store","Shoe Stores/Accessories/Men's Clothing",-83.0463855976544,42.3341393644808,c(-83.0463855976544, 42.3341393644808)
"F_yjmNxW3vt_tg9B5uY1aA","Lafayette Coney Island","$","fast food","Hot Dogs",-83.0488542,42.3314997320339,c(-83.0488542, 42.3314997320339)
"gMu45BuiwY2wPwMzdfpAaw","White Castle","$","fast food","Fast Food/Burgers",-83.07294,42.33179,c(-83.07294, 42.33179)
"1CspKsXL6QnVOvmsbLByCw","Potbelly Sandwich Shop","$","fast food","Salad/Sandwiches/Fast Food",-83.0471724269838,42.331217069944,c(-83.0471724269838, 42.331217069944)
"bfl6RNTBfyXunxNJT3zdnA","El Nacimiento","$","fast food","Mexican",-83.12233,42.31362,c(-83.12233, 42.31362)
"6JNAex5o0vbtuZk1p8N_NQ","Chipotle Mexican Grill","N/A","fast food","Mexican/Fast Food",-83.0456427950892,42.3309608218778,c(-83.0456427950892, 42.3309608218778)
"7T8cK3JxR7rdtEz-3R31EA","Shake Shack First National Building - Downtown Detroit","$$","fast food","Burgers/Diners",-83.0453058747931,42.3309968007357,c(-83.0453058747931, 42.3309968007357)
"mMfcqcWz8z2pZqP-ZAwbTw","Sunoco","N/A","gas station","Gas Stations/Convenience Stores",-83.0520172,42.329071,c(-83.0520172, 42.329071)
"gdZmmkM0lrobgejufFpF1g","Speedway","$","gas station","Gas Stations/Convenience Stores/Coffee & Tea",-83.03669,42.33266,c(-83.03669, 42.33266)
"4IHHrxTD4wWLOPz1WUH5iA","Exxon","N/A","gas station","Gas Stations",-83.047249,42.351926,c(-83.047249, 42.351926)
"Hv0jueExXEgYwshO1dWQww","Mobil","N/A","gas station","Gas Stations",-83.1194673,42.3022574,c(-83.1194673, 42.3022574)
"ngYeZ-xr5dqkVrnaz_GXFQ","North American International Auto Show","N/A","gas station","Ticket Sales/Parking",-83.048095703125,42.3271331787109,c(-83.048095703125, 42.3271331787109)
